Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2023-2024,Graphite,25041010,Import,SINGAPORE,0.04,80000.0
2023-2024,Graphite,25041010,Import,SOUTH AFRICA,,
2023-2024,Graphite,25041010,Import,SWEDEN,0.01,1080.0
2023-2024,Graphite,25041010,Import,TANZANIA REP,0.02,48000.0
2023-2024,Graphite,25041010,Import,U ARAB EMTS,0.07,75500.0
2023-2024,Graphite,25041010,Import,U K,0.03,16000.0
2023-2024,Graphite,25041010,Import,U S A,0.15,42535.0
2023-2024,Graphite,25041010,Import,UKRAINE,0.0,150.0
2023-2024,Graphite,25041010,Import,VIETNAM SOC REP,0.34,674000.0
2024-2025,Graphite,25041010,Import,AUSTRIA,0.01,7000.0
2024-2025,Graphite,25041010,Import,CANADA,0.04,9945.0
2024-2025,Graphite,25041010,Import,CHINA P RP,3.71,4133300.0
2024-2025,Graphite,25041010,Import,GERMANY,0.11,17595.0
2024-2025,Graphite,25041010,Import,HONG KONG,,
2024-2025,Graphite,25041010,Import,ITALY,0.0,495.0
2024-2025,Graphite,25041010,Import,JAPAN,0.39,24140.0
2024-2025,Graphite,25041010,Import,KOREA RP,,
2024-2025,Graphite,25041010,Import,MADAGASCAR,2.3,2948650.0
2024-2025,Graphite,25041010,Import,MEXICO,,
2024-2025,Graphite,25041010,Import,MOZAMBIQUE,0.08,120544.0
2024-2025,Graphite,25041010,Import,SINGAPORE,0.04,80000.0
2024-2025,Graphite,25041010,Import,SOUTH AFRICA,,
2024-2025,Graphite,25041010,Import,SWEDEN,0.01,1080.0
2024-2025,Graphite,25041010,Import,TANZANIA REP,0.02,48000.0
2024-2025,Graphite,25041010,Import,U ARAB EMTS,0.07,75500.0
2024-2025,Graphite,25041010,Import,U K,0.03,16000.0
2024-2025,Graphite,25041010,Import,U S A,0.15,42535.0
2024-2025,Graphite,25041010,Import,UKRAINE,0.0,150.0
2024-2025,Graphite,25041010,Import,VIETNAM SOC REP,0.34,674000.0
